,subj,channel,dir,type,Unnamed: 4,Unnamed: 5,Unnamed: 6,nat_x,nat_y,nat_z,leadDBS_x,leadDBS_y,leadDBS_z,mni_linear_x,mni_linear_y,mni_linear_z,mni_nonlinear_x,mni_nonlinear_y,mni_nonlinear_z,fs_anatomy
148,DBS3023,7,+,Onset,,,,-69.16560867,67.92528163,-33.10804193,-68.9692621054305,-17.2967102432212,27.2740347878621,-69.302438996991,-21.6213952867217,23.9237298043104,-71.1349593400226,-21.9874160113055,23.7938422405845,postcentral
149,DBS3023,8,+,Onset,,,,-69.27638166,69.43081892,-31.08683368,-68.694632829495,-15.7132833417358,29.2186514557979,-68.995434308461,-19.7670393325362,26.1407189859789,-70.7070047940705,-20.1087047430736,26.0796789309867,postcentral
150,DBS3023,9,+,Onset,,,,-69.05985822,70.97539427,-29.05577165,-68.091048583496,-14.1519607814257,31.1566314098358,-68.3446587640786,-17.895962492912,28.318338051541,-69.9547950593845,-18.2254813471602,28.3529138035783,postcentral
151,DBS3023,14,+,Onset,,,,-67.12795974,78.44025147,-19.17268701,-64.3012706581798,-6.76794419993249,40.5505426908647,-64.2747641863566,-8.91515825206193,38.7957282687095,-65.7825058366276,-9.35205662982013,39.1458569712731,postcentral
152,DBS3023,15,+,Onset,,,,-65.95428199,79.83401104,-17.43430682,-62.8013431582435,-5.54489041556624,42.1618799678736,-62.6882910376253,-7.31583556518141,40.5110003222941,-64.2249169357378,-7.88058541032045,40.8761749906914,postcentral
153,DBS3023,16,+,Onset,,,,-64.60961285,81.21947234,-15.89988225,-61.1458888985024,-4.37033434748435,43.5625891124582,-60.9529881043166,-5.76374640232495,41.9633936006335,-62.5055412438516,-6.48108154724825,42.3440564792164,precentral
154,DBS3023,17,+,Onset,,,,-63.15250537,82.68404604,-14.30774616,-59.3624891025088,-3.13659296465973,45.0118658382908,-59.0857049786426,-4.12950254397902,43.4585321958454,-60.6432630306094,-5.01889080668241,43.8587168213249,precentral
155,DBS3023,18,+,Onset,,,,-61.80774671,84.04094048,-12.67820719,-57.7071599164908,-1.98610204794868,46.5089268143967,-57.3405213172351,-2.59616881398041,45.0259072336266,-58.8904329432292,-3.64771485155293,45.4480694067337,precentral
156,DBS3023,19,+,Sus,,,,-60.42389834,85.42323674,-10.98743897,-56.0055578998345,-0.815369581019198,48.0640514084765,-55.5441804016203,-1.03148791019112,46.656735104348,-57.0552106101262,-2.22738229538918,47.1079120981869,precentral
157,DBS3023,20,+,Sus,,,,-59.14581299,86.68122101,-9.443706274,-54.4383738325278,0.246813899053578,49.4835011525647,-53.8893894948144,0.391609057587808,48.1441407213671,-55.3437355068036,-0.908699227033882,48.6232363472128,precentral
158,DBS3023,22,+,Onset,,,,-68.71451264,61.23620569,-47.37927282,-70.5096730022049,-24.5464376791483,13.3570005474456,-71.4140774410244,-30.5020312091883,7.86492460716303,-74.197946809376,-31.016927057221,7.57900666081731,superiortemporal
159,DBS3023,23,+,Onset,,,,-69.14703288,62.68782804,-45.43478018,-70.564820655129,-22.9593503856215,15.2420590322535,-71.4555190923138,-28.6887891822421,10.0436705209304,-74.0938482572747,-29.183385725653,9.73180304556633,superiortemporal
160,DBS3023,24,+,Onset,,,,-69.22864348,64.18287546,-43.41013787,-70.2633106370351,-21.3914978396789,17.1893478307355,-71.1189555889099,-26.8474687097541,12.2617567693625,-73.558167923422,-27.3095002151037,11.9570062851894,superiortemporal
161,DBS3023,25,+,Onset,,,,-69.14377959,65.72965427,-41.38198686,-69.7887095513319,-19.8036604069866,19.130133543545,-70.6045160378506,-24.9639689570948,14.4543948948728,-72.8628056414624,-25.3866919780205,14.1695023790221,superiortemporal
162,DBS3023,26,+,Onset,,,,-69.12129377,67.31450564,-39.40497583,-69.3710524479272,-18.1690006605443,21.0207107430188,-70.1575585007925,-23.0413181221246,16.5914535211849,-72.2948744077473,-23.4262430526814,16.3268037035183,superiortemporal
163,DBS3023,27,+,Onset,,,,-69.13924736,68.92813308,-37.40366745,-68.9865206943209,-16.4975545048172,22.9358488992223,-69.7462787290303,-21.0819336449627,18.7594897735371,-71.7914805329914,-21.4344455867438,18.5231685542975,supramarginal
164,DBS3023,39,+,Sus,,,,-63.06937249,87.05290432,-14.56450308,-58.4923192796209,1.12595870352853,44.528941809286,-58.5922723342893,0.473181855328252,42.6438665402233,-60.017287666752,-0.110569915447943,42.9935042253755,precentral
165,DBS3023,40,+,Sus,,,,-61.56743988,88.40914465,-12.96112661,-56.6842163309497,2.2454917716872,45.9929824298137,-56.6880821035389,1.99017143611888,44.1582742792499,-58.0764489025408,1.24383652235194,44.5070861427028,precentral
166,DBS3023,41,+,Sus,,,,-60.14581299,89.68122101,-11.44370651,-54.9749401700069,3.29372115589905,47.3791120065969,-54.8869133808271,3.41364999031311,45.5927796227739,-56.2370282346888,2.51993647477472,45.9515525366347,precentral
167,DBS3023,42,+,Sus,,,,-68.14581299,62.68122101,-50.44371116,-69.8482642171586,-23.3623267063762,10.2006275451167,-71.0882122735227,-29.3858078240012,4.01904846292901,-73.6100304490947,-29.6875285377496,3.79756780855879,superiortemporal
168,DBS3023,59,+,Sus,,,,-64.31061899,88.50206563,-18.63017018,-59.6597181986895,2.60853719449496,40.4534601044973,-60.2713870029734,1.61523437297398,37.8784697238972,-61.4814260945633,1.46137270203121,38.2148579818449,precentral
169,DBS3023,62,+,Three,,,,-61.14581299,92.68122101,-13.44370675,-55.5115065076975,6.34062841257652,45.2747228566384,-55.8844372673728,6.43569092255078,43.0414185194825,-57.1639122070374,5.88749800654203,43.2125841346575,precentral
170,DBS3023,80,+,Sus,,,,-60.4965848,88.57810734,-11.86064678,-55.5438469913793,2.25851773464983,47.0349627285081,-55.416790060118,2.21890814428336,45.2794325276814,-56.7900905055072,1.31140725198818,45.6640005280882,precentral
171,DBS3024,8,+,Sus,,,,-76.2800651,38.14084148,-26.11130775,-63.1790902696558,-46.4526290375466,31.2337697561406,-65.5728596585124,-38.8373867164996,25.5756505801842,-69.5211743989214,-40.4457530407058,26.1902922313409,supramarginal
