,MNI_X,MNI_Y,MNI_Z
28,-13.7739492047863,-14.243620059147,-8.41708547614003
30,-13.8424902164363,-16.0872911641134,-7.244558205165969
34,-13.0302290113243,-15.1650716895822,-10.3195322182577
45,-12.7856660516947,-14.8443198939133,-9.10027186025077
127,-12.2564669417526,-13.8446500020919,-8.26368368835014
131,-11.5999797712483,-18.90623193427,-9.25507848393232
133,-12.0037461836305,-20.3473968967317,-7.98108582432054
138,-14.4867961415013,-13.1215727258927,-8.196191054011509
139,-14.3556099453915,-15.0465106598459,-7.21902860145064
140,-14.3556099453915,-15.0465106598459,-7.21902860145064
143,-12.5706988652297,-12.639939065285098,-7.69532050955914
165,-11.6252880554932,-11.4550286974007,-4.51691769946784
180,-12.7920732893558,-12.7807509726748,-4.835109784133651
181,-14.5353490606347,-13.9639976127373,-7.60898298460963
194,-11.143326677203,-14.1463523208704,-8.12563802775357
