,MNI_X,MNI_Y,MNI_Z,Subject,Intensity
0,-15.1435920336804,-14.083570425612100,-7.38450140551172,0,1
1,-15.0502679655458,-15.797848843617800,-6.19726574549572,0,1
2,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
3,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
4,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
5,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
6,-14.5310580812023,-16.5566965073604,-7.833295695807770,0,1
7,-14.5310580812023,-16.5566965073604,-7.833295695807770,0,1
8,-12.730574114804000,-14.4146261897583,-8.57410015683545,0,1
9,-12.730574114804000,-14.4146261897583,-8.57410015683545,0,1
10,-12.730574114804000,-14.4146261897583,-8.57410015683545,0,1
11,-13.8419247742783,-15.9473717245615,-11.3455393342086,0,1
12,-13.8419247742783,-15.9473717245615,-11.3455393342086,0,1
13,-13.7623113995917,-17.661272252994600,-10.1503965834526,0,1
14,-11.9602742298381,-15.5025741817648,-10.9026266963067,0,1
15,-11.9602742298381,-15.5025741817648,-10.9026266963067,0,1
16,-15.84614348,-16.20438464,-6.606657508,1,1
17,-13.88624238,-15.79910703,-6.014101341,1,1
18,-13.88624238,-15.79910703,-6.014101341,1,1
19,-15.65398391,-16.40874417,-7.061236366,1,1
20,-15.72387348,-18.26273656,-5.8978907860000000,1,1
21,-13.69735713,-16.00412369,-6.469876393,1,1
22,-14.75381566,-17.36253819,-9.096662245,1,1
23,-14.85756588,-19.21852421,-7.984475265,1,1
24,-12.81523608,-16.95632668,-8.51860964,1,1
25,-14.544300969821700,-13.307693224891,-6.44241191314289,2,1
26,-14.60209706711,-15.164714344744,-5.27490176153644,2,1
27,-12.804232204463400,-12.914741871552,-5.85677006675003,2,1
28,-13.7739492047863,-14.243620059147,-8.41708547614003,2,1
29,-13.7739492047863,-14.243620059147,-8.41708547614003,2,1
30,-13.8424902164363,-16.0872911641134,-7.244558205165970,2,1
31,-12.0475652271265,-13.853092626161,-7.843069464647750,2,1
32,-12.0475652271265,-13.853092626161,-7.843069464647750,2,1
33,-12.0475652271265,-13.853092626161,-7.843069464647750,2,1
34,-13.0302290113243,-15.1650716895822,-10.3195322182577,2,1
35,-13.1144842166188,-16.999520477893700,-9.13816789547392,2,1
36,-13.1144842166188,-16.999520477893700,-9.13816789547392,2,1
37,-11.3165030275617,-14.7726985553288,-9.75812283905058,2,1
38,-13.453444444878300,-13.6728045914817,-7.29739013030643,3,1
39,-13.453444444878300,-13.6728045914817,-7.29739013030643,3,1
40,-13.453444444878300,-13.6728045914817,-7.29739013030643,3,1
41,-13.5407298425445,-15.273898327389700,-6.05520095093738,3,1
42,-13.5407298425445,-15.273898327389700,-6.05520095093738,3,1
43,-11.450208088471,-13.1320553789587,-6.45237797963138,3,1
44,-12.7856660516947,-14.8443198939133,-9.10027186025077,3,1
45,-12.7856660516947,-14.8443198939133,-9.10027186025077,3,1
46,-12.8827431389433,-16.462640341290700,-7.842226449488260,3,1
