,MNI_X,MNI_Y,MNI_Z
11,-13.8419247742783,-15.9473717245615,-11.3455393342086
13,-13.7623113995917,-17.661272252994603,-10.1503965834526
14,-11.9602742298381,-15.5025741817648,-10.9026266963067
22,-14.75381566,-17.36253819,-9.096662245
24,-12.81523608,-16.95632668,-8.51860964
25,-14.544300969821698,-13.307693224891,-6.44241191314289
29,-13.7739492047863,-14.243620059147,-8.41708547614003
31,-12.0475652271265,-13.853092626161,-7.843069464647749
33,-12.0475652271265,-13.853092626161,-7.843069464647749
51,-9.97332319161858,-13.1074898221392,-7.397321326540309
53,-11.3518710953312,-14.9191514528256,-9.69804625991919
55,-9.52644147648499,-14.5219438067899,-9.45108386136411
58,-9.24385187371605,-15.3567268721467,-10.6362620100977
59,-9.24385187371605,-15.3567268721467,-10.6362620100977
63,-13.0866268528076,-15.6280318830722,-8.58878311198306
64,-11.2503041763431,-15.2182435419506,-7.95196648346966
66,-12.670906180920902,-16.085147056374304,-9.76369177559722
69,-13.6821993791371,-13.3781762163244,-6.556118954580341
70,-13.6821993791371,-13.3781762163244,-6.556118954580341
72,-13.0938989449949,-14.3069180298205,-8.3547105447575
76,-12.9145602605293,-16.4037055625134,-7.70580766092503
78,-12.4771620410651,-15.2685482689063,-10.3018220430914
81,-13.7180927115315,-15.018662752987002,-7.52798924319139
82,-13.7180927115315,-15.018662752987002,-7.52798924319139
83,-11.842281116402098,-12.7282013040685,-7.89212923483629
84,-11.842281116402098,-12.7282013040685,-7.89212923483629
91,-13.1770631741788,-15.5964375177267,-8.846568738687289
96,-15.374796519105802,-16.5098936583273,-4.519688922541519
97,-15.374796519105802,-16.5098936583273,-4.519688922541519
99,-13.1249447347429,-14.3837007944451,-5.32248885640606
103,-12.6971293264199,-15.1333187438375,-6.9571175004543
105,-13.868824708766198,-16.5670613027897,-7.89754877248253
111,-13.0589685095951,-16.7414997123399,-10.3605510159253
114,-13.4331252551124,-15.0950850446326,-7.00458704969183
116,-12.7421397858141,-15.5968687188498,-8.62242963227458
117,-12.7590195230925,-17.8546865956956,-7.611886458703799
118,-12.7590195230925,-17.8546865956956,-7.611886458703799
119,-12.7590195230925,-17.8546865956956,-7.611886458703799
124,-13.0399462394878,-12.890725085929502,-6.27712057234892
125,-14.175204350077696,-14.0636402381295,-8.74600402929667
128,-11.865794481082098,-18.4144057438593,-8.34902151672176
130,-11.5999797712483,-18.90623193427,-9.25507848393232
134,-9.62190603061291,-18.973601873288,-8.460910193384121
135,-9.62190603061291,-18.973601873288,-8.460910193384121
136,-9.62190603061291,-18.973601873288,-8.460910193384121
137,-14.4867961415013,-13.1215727258927,-8.196191054011509
142,-14.3556099453915,-15.0465106598459,-7.21902860145064
145,-13.831467452031902,-14.2443614540474,-11.8803046046736
147,-11.9479117131516,-13.7700004666503,-11.3689223815095
151,-12.4172725710686,-12.8823973406019,-6.90005388346304
155,-13.9702180403861,-15.9835911959141,-7.831311075330159
156,-14.4625230868936,-14.0280217702346,-7.40458618622466
159,-13.9523513986128,-16.8602422184881,-8.32379530332825
160,-13.9523513986128,-16.8602422184881,-8.32379530332825
164,-13.9786074644248,-13.3530919536561,-3.97241678787962
168,-13.4565534807808,-14.1639923175344,-5.218033984865889
169,-13.4565534807808,-14.1639923175344,-5.218033984865889
170,-11.127369695316,-12.264703362948898,-5.76596661682232
171,-11.127369695316,-12.264703362948898,-5.76596661682232
172,-15.1596976990301,-12.4750892822512,-4.53832190636446
173,-15.1596976990301,-12.4750892822512,-4.53832190636446
176,-14.947362934151302,-13.0200072037726,-5.68232715563929
178,-15.0544338145815,-14.943000252326,-4.33897374069385
179,-12.7920732893558,-12.7807509726748,-4.835109784133651
184,-12.405991876951,-13.7380703625086,-6.776150451049629
187,-12.405991876951,-13.7380703625086,-6.776150451049629
189,-11.2853796937349,-15.8113432008421,-2.91468119372184
190,-9.21573188164876,-13.9050300323828,-3.67740666185867
191,-9.21573188164876,-13.9050300323828,-3.67740666185867
192,-9.21573188164876,-13.9050300323828,-3.67740666185867
198,-10.878055346379302,-17.338806086570102,-8.975399642354642
199,-10.9431122165383,-19.0408311113769,-7.765304455300679
200,-9.19051648789373,-17.1987634218019,-8.09023833482254
201,-10.8491166340387,-17.3914571744801,-9.0620600975466
203,-12.531485163399802,-13.0272119407028,-7.74186575901741
205,-12.2294299739479,-15.4716911009862,-7.70098657054515
206,-12.2294299739479,-15.4716911009862,-7.70098657054515
