,MNI_X,MNI_Y,MNI_Z
4,-13.245183413211802,-13.6664808407269,-6.94203243989326
8,-12.730574114804002,-14.4146261897583,-8.57410015683545
10,-12.730574114804002,-14.4146261897583,-8.57410015683545
20,-15.72387348,-18.26273656,-5.8978907860000005
26,-14.60209706711,-15.164714344744,-5.27490176153644
57,-11.0128122524441,-17.2134769389089,-9.071357833557151
79,-12.4642538254239,-17.112562316837302,-9.1459471317367
95,-15.2318252229175,-14.7000838722176,-6.03685477613624
100,-14.788360442404402,-15.4655606655581,-7.6384989657783695
101,-14.788360442404402,-15.4655606655581,-7.6384989657783695
107,-14.0181578868802,-15.2766659768952,-8.1396501830917
112,-13.0589685095951,-16.7414997123399,-10.3605510159253
149,-14.436671403202698,-13.3685764048006,-7.341944763288749
196,-12.6994512400972,-15.544966599158098,-10.0459055120158
